7zip 24.09-3
onetbb 2022.1.0-1
oniguruma 6.9.10-1
openal 1.24.3-1
opencl-amd 1:6.3.2-1
opencolorio 2.4.0-6
openconnect 1:9.12-3
opencore-amr 0.1.6-2
openexr 3.3.3-1
openh264 2.6.0-1
openimagedenoise 2.3.2-2
openimageio 2.5.18.0-2
openjpeg2 2.5.3-1
openpgl 0.7.0-1
openshadinglanguage 1.13.12.0-2
openssh 9.9p2-1
openssl 3.4.1-1
opensubdiv 3.6.0-1
openvdb 12.0.0-2
openxr 1.1.43-1
opus 1.5.2-1
orc 0.4.41-1
os-prober 1.83-1
osinfo-db 20250124-1
ostree 2025.2-2
p11-kit 0.25.5-1
pacman 7.0.0.r6.gc685ae6-2
pacman-contrib 1.11.0-1
pacman-mirrorlist 20250311-1
pacutils 0.15.0-1
pahole 1:1.29-1
pam 1.7.0-2
pambase 20230918-2
pamixer 1.6-3
pango 1:1.56.3-1
pangomm 2.46.4-1
pangomm-2.48 2.56.1-1
parallel 20250322-1
parted 3.6-2
patch 2.7.6-10
pavucontrol 1:6.1-1
pciutils 3.13.0-2
pcre 8.45-4
pcre2 10.45-1
pcsclite 2.3.3-1
perl 5.40.1-2
perl-clone 0.47-1
perl-encode-locale 1.05-13
perl-error 0.17030-1
perl-file-listing 6.16-4
perl-html-parser 3.83-1
perl-html-tagset 3.24-2
perl-http-cookiejar 0.014-3
perl-http-cookies 6.11-2
perl-http-daemon 6.16-4
perl-http-date 6.06-3
perl-http-message 7.00-1
perl-http-negotiate 6.01-14
perl-io-html 1.004-6
perl-libwww 6.78-1
perl-lwp-mediatypes 6.04-6
perl-mailtools 2.22-1
perl-net-http 6.23-4
perl-timedate 2.33-7
perl-try-tiny 0.32-2
perl-uri 5.31-1
perl-www-robotrules 6.02-14
perl-xml-parser 2.47-2
perl-xml-writer 0.900-4
phodav 3.0-3
phonon-qt6 4.12.0-4
phonon-qt6-vlc 0.12.0-2
pinentry 1.3.1-5
pipewire 1:1.4.1-1
pipewire-alsa 1:1.4.1-1
pipewire-audio 1:1.4.1-1
pipewire-jack 1:1.4.1-1
pipewire-pulse 1:1.4.1-1
pixman 0.44.2-1
pkcs11-helper 1.30.0-1
pkgconf 2.4.3-1
pkgfile 24-1
plasma-activities 6.3.4-1
playerctl 2.4.1-4
plocate 1.1.23-1
pnpm 10.7.1-1
pokemon-colorscripts-git r114.5802ff67-1
polkit 126-2
polkit-gnome 0.105-11
polkit-qt6 0.200.0-1
poppler 25.03.0-1
poppler-data 0.4.12-2
poppler-glib 25.03.0-1
poppler-qt6 25.03.0-1
popt 1.19-2
portaudio 1:19.7.0-3
posting 2.3.0-2
potrace 1.16-3
power-profiles-daemon 0.30-1
powertop 2.15-2
ppp 2.5.2-1
procps-ng 4.0.5-3
protobuf 30.1-1
protobuf-c 1.5.1-2
psmisc 23.7-1
ptex 2.4.3-1
pugixml 1.15-2
pv 1.9.31-1
pybind11 2.13.6-2
pyside6 6.8.3-1
pystring 1.1.4-2
python 3.13.2-1
python-annotated-types 0.7.0-2
python-anyascii 0.3.2-2
python-anyio 4.8.0-1
python-appdirs 1.4.4-11
python-argcomplete 3.5.3-1
python-attrs 23.2.0-4
python-autocommand 2.2.2-7
python-beautifulsoup4 4.12.3-3
python-black 25.1.0-1
python-blinker 1.8.2-2
python-cachecontrol 1:0.14.2-1
python-cairo 1.27.0-2
python-certifi 2025.01.31-1
python-chardet 5.2.0-6
python-charset-normalizer 3.4.1-1
python-click 8.1.8-1
python-click-default-group 1.2.4-3
python-colorama 0.4.6-5
python-coverage 7.6.12-1
python-cssselect 1.2.0-8
python-cssselect2 0.7.0-6
python-dbus 1.4.0-1
python-decorator 5.1.1-5
python-defusedxml 0.7.1-7
python-distro 1.9.0-3
python-docopt 0.6.2-14
python-dotenv 1.1.0-1
python-evdev 1.9.0-1
python-ewmh 0.1.6-7.1
python-filelock 3.18.0-1
python-flask 3.1.0-2
python-flask-cors 5.0.1-1
python-gobject 3.52.3-3
python-h11 0.14.0-6
python-httpcore 1.0.7-2
python-httpx 0.28.1-2
python-idna 3.10-2
python-iniconfig 2.0.0-6
python-itsdangerous 2.1.2-5
python-jaraco.collections 5.1.0-1
python-jaraco.context 6.0.1-1
python-jaraco.functools 4.1.0-1
python-jaraco.text 4.0.0-2
python-jinja 1:3.1.5-1
python-jsonschema 4.23.0-2
python-jsonschema-specifications 2024.10.1-1
python-keyutils 0.6-11
python-linkify-it-py 2.0.3-5
python-lockfile 0.12.2-14
python-lxml 5.3.1-1
python-mako 1.3.9-1
python-markdown 3.7-2
python-markdown-it-py 3.0.0-4
python-markupsafe 2.1.5-3
python-material-color-utilities 0.1.5-1
python-materialyoucolor-git 2.0.10.r1.g7308073-1
python-mdurl 0.1.2-8
python-moddb 0.12.0-1
python-more-itertools 10.6.0-1
python-msgpack 1.0.5-3
python-mypy_extensions 1.0.0-5
python-numpy 2.2.4-1
python-opengl 3.1.7-2
python-orjson 3.10.16-1
python-packaging 24.2-3
python-pathspec 0.12.1-3
python-pillow 11.1.0-1
python-platformdirs 4.3.6-2
python-pluggy 1.5.0-3
python-protobuf 30.1-1
python-psutil 7.0.0-1
python-pulsectl 1:24.12.0-1
python-pyamdgpuinfo 2.1.6-1
python-pyaml 24.12.0-1
python-pydantic 2.10.6-1
python-pydantic-core 2:2.27.2-1
python-pydantic-settings 2.8.1-1
python-pygments 2.19.1-1
python-pyinotify 0.9.6-15
python-pyperclip 1.9.0-3
python-pyqt6 6.8.1-2
python-pyqt6-sip 13.10.0-1
python-pyqt6-webengine 6.8.0-2
python-pyserial 3.5-7
python-pysocks 1.7.1-10
python-pytest 1:8.3.5-1
python-pywalfox 2.7.4-1
python-pyxdg 0.28-4
python-referencing 0.35.1-3
python-regex 2024.11.6-2
python-reportlab 4.2.2-5
python-requests 2.32.3-4
python-rich 14.0.0-1
python-rpds-py 0.22.3-1
python-send2trash 1.8.3-2
python-setproctitle 1.3.5-1
python-setuptools 1:75.8.0-1
python-shtab 1.7.1-3
python-six 1.17.0-1
python-sniffio 1.3.1-4
python-soupsieve 2.6-2
python-svglib 1.5.1-4
python-termcolor 2.5.0-1
python-textual 2.1.2-1
python-textual-autocomplete 3.0.0a13-1
python-tinycss2 1.4.0-2
python-tqdm 4.67.1-2
python-typing_extensions 4.12.2-3
python-uc-micro-py 1.0.3-3
python-urllib3 2.3.0-1
python-waitress 3.0.2-1
python-watchfiles 1.0.4-1
python-webencodings 0.5.1-12
python-werkzeug 3.1.3-1
python-wheel 0.45.1-1
python-xdg-base-dirs 6.0.2-1
python-xlib 0.33-4
python-yaml 6.0.2-2
python-yapsy-git release_Yapsy.1.12.2.r17.g6b487b0-1
python-zstandard 0.23.0-2
qca-qt6 2.3.10-1
qemu-audio-alsa 9.2.3-1
qemu-audio-dbus 9.2.3-1
qemu-audio-jack 9.2.3-1
qemu-audio-oss 9.2.3-1
qemu-audio-pa 9.2.3-1
qemu-audio-pipewire 9.2.3-1
qemu-audio-sdl 9.2.3-1
qemu-audio-spice 9.2.3-1
qemu-base 9.2.3-1
qemu-block-curl 9.2.3-1
qemu-block-dmg 9.2.3-1
qemu-block-nfs 9.2.3-1
qemu-block-ssh 9.2.3-1
qemu-chardev-spice 9.2.3-1
qemu-common 9.2.3-1
qemu-desktop 9.2.3-1
qemu-hw-display-qxl 9.2.3-1
qemu-hw-display-virtio-gpu 9.2.3-1
qemu-hw-display-virtio-gpu-gl 9.2.3-1
qemu-hw-display-virtio-gpu-pci 9.2.3-1
qemu-hw-display-virtio-gpu-pci-gl 9.2.3-1
qemu-hw-display-virtio-vga 9.2.3-1
qemu-hw-display-virtio-vga-gl 9.2.3-1
qemu-hw-usb-host 9.2.3-1
qemu-hw-usb-redirect 9.2.3-1
qemu-hw-usb-smartcard 9.2.3-1
qemu-img 9.2.3-1
qemu-system-x86 9.2.3-1
qemu-system-x86-firmware 9.2.3-1
qemu-ui-curses 9.2.3-1
qemu-ui-dbus 9.2.3-1
qemu-ui-egl-headless 9.2.3-1
qemu-ui-gtk 9.2.3-1
qemu-ui-opengl 9.2.3-1
qemu-ui-sdl 9.2.3-1
qemu-ui-spice-app 9.2.3-1
qemu-ui-spice-core 9.2.3-1
qemu-vhost-user-gpu 9.2.3-1
qpdf 12.0.0-1
qrencode 4.1.1-3
qt5-base 5.15.16+kde+r130-4
qt5-declarative 5.15.16+kde+r22-3
qt5-graphicaleffects 5.15.16-3
qt5-imageformats 5.15.16+kde+r2-3
qt5-quickcontrols 5.15.16-3
qt5-quickcontrols2 5.15.16+kde+r5-3
qt5-svg 5.15.16+kde+r5-3
qt5-translations 5.15.16-3
qt5-wayland 5.15.16+kde+r60-1
qt5-x11extras 5.15.16-3
qt5ct 1.9-1
qt6-5compat 6.8.3-1
qt6-base 6.8.3-1
qt6-charts 6.8.3-1
qt6-declarative 6.8.3-1
qt6-multimedia 6.8.3-1
qt6-multimedia-ffmpeg 6.8.3-1
qt6-positioning 6.8.3-1
qt6-quick3d 6.8.3-1
qt6-quicktimeline 6.8.3-1
qt6-scxml 6.8.3-1
qt6-serialport 6.8.3-1
qt6-shadertools 6.8.3-1
qt6-speech 6.8.3-1
qt6-svg 6.8.3-1
qt6-tools 6.8.3-1
qt6-translations 6.8.3-1
qt6-wayland 6.8.3-1
qt6-webchannel 6.8.3-1
qt6-webengine 6.8.3-1
qt6-websockets 6.8.3-1
qt6ct 0.10-2
qtkeychain-qt6 0.15.0-1
ragel 6.10-4
raptor 2.0.16-6
rav1e 0.7.1-1
re2 1:20240702-4
readline 8.2.013-1
rebuild-detector 4.4.5-1
reflector 2023-3
reflector-simple 2024.8.1-1
reiserfsprogs 3.6.27-5
rhash 1.4.4-1
ripgrep 14.1.1-1
ripgrep-all 0.10.6-3
rofi-wayland 1.7.8.1-2
rpcbind 1.2.7-2
rsync 3.4.1-2
rtkit 0.13-3
rtmpdump 1:2.4.r105.6f6bb13-1
rubberband 4.0.0-1
runc 1.2.6-1
rust 1:1.85.1-1
s-nail 14.9.24-2
sbc 2.0-2
scour 0.38.2-5
sd 1.0.0-1
sdbus-cpp 2.1.0-2
sdl2-compat 2.32.54-1
sdl2_image 2.8.8-1
sdl3 3.2.10-1
seabios 1.16.3-1
seatd 0.9.1-1
sed 4.9-3
semver 7.7.1-1
serd 0.32.4-1
sg3_utils 1.48-1
shaderc 2025.1-1
shadow 4.17.4-1
shared-mime-info 2.4-1
shiboken6 6.8.3-1
simdjson 1:3.12.2-1
slang 2.3.3-3
slurp 1.5.0-1
smartmontools 7.4-2
smbclient 2:4.22.0-1
snappy 1.2.2-1
sndio 1.10.0-1
sof-firmware 2025.01.1-1
solid 6.12.0-1
sonnet 6.12.0-1
sord 0.16.18-1
sound-theme-freedesktop 0.8-6
soundtouch 2.3.3-1
source-highlight 3.1.9-14
spandsp 0.0.6-5
spdlog 1.15.2-1
speech-dispatcher 0.12.0-1
speex 1.2.1-2
speexdsp 1.2.1-2
spice 0.15.2-1
spice-gtk 0.42-4
spice-protocol 0.14.4-2
spicetify-cli-git 2.39.5.r4.g4da19107-1
spirv-tools 1:1.4.309.0-1
spotify 1:1.2.59.514-1
sqlite 3.49.1-1
sratom 0.6.18-1
srt 1.5.4-1
startup-notification 0.12-8
steam 1.0.0.82-1
stoken 0.92-4
sudo 1.9.16.p2-2
sushi 46.0-2
svt-av1 3.0.2-1
svt-hevc 1.5.1-3
swappy 1.5.1-2
swaylock-effects-git r470.496059a-1
swww 0.9.5-2
syntax-highlighting 6.12.0-1
sysfsutils 2.1.1-2
systemd 257.4-1
systemd-libs 257.4-1
systemd-resolvconf 257.4-1
systemd-sysvcompat 257.4-1
taglib 2.0.2-1
talloc 2.4.3-1
tar 1.35-2
tcl 8.6.16-1
tdb 1.4.13-1
tevent 1:0.16.2-1
texinfo 7.2-1
thin-provisioning-tools 1.1.0-1
tinysparql 3.9.1-1
tldr 3.3.0-2
tomlplusplus 3.4.0-1
totem 43.1+r37+gea6718427-1
totem-pl-parser 3.26.6+r30+g51b8439-1
tpm2-tss 4.1.3-1
tree-sitter 0.25.3-1
tree-sitter-c 0.23.5-1
tree-sitter-lua 0.2.0-1
tree-sitter-markdown 0.3.1-1
tree-sitter-query 0.5.0-1
tree-sitter-vim 0.4.0-1
tree-sitter-vimdoc 3.0.0-1
tslib 1.23-1
ttf-bitstream-vera 1.10-16
ttf-dejavu 2.37+18+g9b5d1b2f-7
ttf-jetbrains-mono-nerd 3.3.0-1
ttf-liberation 2.1.5-2
ttf-opensans 3.003-1
twolame 0.4.0-4
tzdata 2025b-1
uchardet 0.0.8-3
udiskie 2.5.7-1
udisks2 2.10.1-5
unibilium 2.1.2-1
unrar 1:7.1.6-1
unzip 6.0-22
upower 1.90.8-1
usb_modeswitch 2.6.2-1
usbmuxd 1.1.1-4
usbredir 0.15.0-1
usbutils 018-1
usd 25.02.a-1
util-linux 2.41-4
util-linux-libs 2.41-4
v4l-utils 1.28.1-2
vapoursynth R70-2
vde2 2.3.3-6
vi 1:070224-6
vid.stab 1.1.1-2
virglrenderer 1.0.1-2
virtiofsd 1.13.1-1
visual-studio-code-bin 1.98.2-1
vlc 3.0.21-16
vmaf 3.0.0-1
volume_key 0.3.12-10
vpnc 1:0.5.3.r539.r239-1
vte-common 0.80.0-1
vte3 0.80.0-1
vulkan-headers 1:1.4.309.0-1
vulkan-icd-loader 1.4.309.0-1
vulkan-radeon 1:25.0.2-2
wavpack 5.8.1-1
waybar 0.12.0-1
wayland 1.23.1-1
wayland-protocols 1.42-1
webkit2gtk 2.48.1-1
webkit2gtk-4.1 2.48.1-1
webkitgtk-6.0 2.48.1-1
webrtc-audio-processing-1 1.3-4
welcome 25.3.1-1
wget 1.25.0-2
which 2.23-1
whois 5.5.23-1
wildmidi 0.4.6-1
wine 10.4-1
winetricks 20250102-1
wireplumber 0.5.8-1
wl-clipboard 1:2.2.1-2
wlogout 1.2.2-0.3
wlr-randr 0.5.0-1
wlsunset 0.4.0-1
wmctrl 1.07-6
woff2 1.0.2-5
wolfssl 5.7.6-1
wpa_supplicant 2:2.11-3
wtype 0.4-2
x264 3:0.164.r3108.31e19f9-2
x265 4.0-1
xapp 2.8.8-1
xcb-imdkit 1.0.9-1
xcb-proto 1.17.0-3
xcb-util 0.4.1-2
xcb-util-cursor 0.1.5-1
xcb-util-errors 1.0.1-2
xcb-util-image 0.4.1-3
xcb-util-keysyms 0.4.1-5
xcb-util-renderutil 0.3.10-2
xcb-util-wm 0.4.2-2
xcur2png 0.7.1-8
xdg-dbus-proxy 0.1.6-1
xdg-desktop-portal 1.20.0-2
xdg-desktop-portal-gnome 48.0-2
xdg-desktop-portal-gtk 1.15.3-1
xdg-desktop-portal-hyprland 1.3.9-5
xdg-user-dirs 0.18-2
xdg-user-dirs-gtk 0.14-1
xdg-utils 1.2.1-1
xf86-input-libinput 1.5.0-1
xf86-video-amdgpu 23.0.0-2
xf86-video-ati 1:22.0.0-2
xfsprogs 6.13.0-1
xkeyboard-config 2.44-1
xl2tpd 1.3.18-2
xmlsec 1.3.7-1
xorg-fonts-encodings 1.1.0-1
xorg-server 21.1.16-1
xorg-server-common 21.1.16-1
xorg-setxkbmap 1.3.4-2
xorg-xauth 1.1.4-1
xorg-xdpyinfo 1.3.4-2
xorg-xinit 1.4.4-1
xorg-xinput 1.6.4-2
xorg-xkbcomp 1.4.7-1
xorg-xkill 1.0.6-2
xorg-xlsclients 1.1.5-2
xorg-xmodmap 1.0.11-2
xorg-xprop 1.2.8-1
xorg-xrandr 1.5.3-1
xorg-xrdb 1.2.2-2
xorg-xset 1.2.5-2
xorg-xwayland 24.1.6-1
xorgproto 2024.1-2
xvidcore 1.3.7-3
xxhash 0.8.3-1
xz 5.8.0-1
yad 14.1-2.1
yaml-cpp 0.8.0-2
yay 12.4.2-1
yyjson 0.10.0-1
zbar 0.23.93-4
zenity 4.1.90-1
zeromq 4.3.5-2
zimg 3.0.5-1
zip 3.0-11
zix 0.6.2-1
zlib 1:1.3.1-2
zlib-ng 2.2.4-1
zsh 5.9-5
zsh-completions 0.35.0-2
zsh-theme-powerlevel10k-git r4312.8fa10f43-1
zstd 1.5.7-2
zvbi 0.2.44-1
zxing-cpp 2.3.0-4
